frame,x,y,width,state
1,932,603,46.04345773288535,SAFE
2,932,603,46.04345773288535,SAFE
3,932,604,46.09772228646444,SAFE
4,932,604,46.09772228646444,SAFE
5,932,604,46.09772228646444,SAFE
6,932,604,46.09772228646444,SAFE
7,932,604,46.09772228646444,SAFE
8,932,604,46.09772228646444,SAFE
9,932,604,46.09772228646444,SAFE
10,932,604,46.09772228646444,SAFE
11,932,604,46.09772228646444,SAFE
12,932,604,46.09772228646444,SAFE
13,932,604,46.09772228646444,SAFE
14,932,603,46.04345773288535,SAFE
15,933,603,48.010415536631214,SAFE
16,933,602,51.03920062069938,SAFE
17,935,603,53.03772242470448,SAFE
18,937,603,57.0350769263968,SAFE
19,939,604,59.033888572581766,SAFE
20,946,603,64.00781202322104,SAFE
21,950,604,66.007575322837,SAFE
22,954,604,68.00735254367721,SAFE
23,958,604,70.00714249274856,SAFE
24,962,604,71.06335201775947,SAFE
25,968,604,75.02666192761077,SAFE
26,975,605,70.06425622241343,SAFE
27,980,605,75.05997601918082,SAFE
28,988,605,76.05918747922567,SAFE
29,993,605,76.00657866263946,SAFE
30,999,606,80.02499609497022,SAFE
31,1009,606,77.00649323271382,SAFE
32,1015,605,78.02563681252464,SAFE
33,1022,606,80.05623023850174,SAFE
34,1031,607,81.02468759581859,SAFE
35,1039,606,82.02438661763951,SAFE
36,1046,605,82.0,SAFE
37,1054,607,81.0,SAFE
38,1069,607,85.0,SAFE
39,1077,607,81.00617260431454,SAFE
40,1084,607,85.00588214941364,SAFE
41,1092,608,84.02380615040002,SAFE
42,1098,609,86.14522621712709,SAFE
43,1107,610,85.28774824088158,SAFE
44,1116,610,88.20430828479978,SAFE
45,1123,611,89.27485648266257,SAFE
46,1132,612,88.45903006477066,SAFE
47,1140,611,91.35097153287424,SAFE
48,1147,612,93.43446901438462,SAFE
49,1155,613,91.6624241442479,SAFE
50,1163,612,93.64827814754524,SAFE
51,1171,613,96.74709297958259,SAFE
52,1181,611,95.75489543621255,SAFE
53,1188,613,99.72462083156798,SAFE
54,1198,614,102.3132444994293,SAFE
55,1205,613,105.92922165295089,SAFE
56,1215,615,104.93807697875924,SAFE
57,1223,614,107.05606008068857,SAFE
58,1231,617,108.46197490364999,SAFE
59,1240,618,110.54863183232979,SAFE
60,1249,616,110.65260954898443,SAFE
61,1257,617,113.53413583587978,SAFE
62,1267,618,115.52488909321661,SAFE
63,1276,618,115.52488909321661,SAFE
64,1287,618,122.494897852931,SAFE
65,1297,618,125.39936203984452,SAFE
66,1305,620,127.88275880665071,SAFE
67,1314,619,128.65846260545786,SAFE
68,1325,620,129.5569372901351,SAFE
69,1333,620,133.63382805263043,SAFE
70,1342,621,137.6154061142865,SAFE
71,1353,621,141.50971698084905,SAFE
72,1362,622,143.58969322343438,SAFE
73,1373,623,146.76852523616907,SAFE
74,1383,623,150.74813431681335,SAFE
75,1393,624,153.06207890917986,SAFE
76,1404,626,158.02847844613325,WARNING
77,1414,626,162.2374802565671,WARNING
78,1436,628,168.44286865284622,CRITICAL
79,1447,630,173.80736463107655,CRITICAL
80,1459,630,178.7568180517879,CRITICAL
81,1470,632,186.11824198610947,CRITICAL
82,1482,633,192.5123372669918,CRITICAL
83,1496,635,201.71762441591463,CRITICAL
84,1509,637,205.36065835500236,CRITICAL
85,1536,641,221.48814866714653,CRITICAL
86,1549,643,233.20591759215716,CRITICAL
87,1563,644,237.6930794112441,CRITICAL
88,1576,646,242.42524621004307,CRITICAL
89,1590,649,247.14570601165622,CRITICAL
90,1599,649,235.26155657055403,CRITICAL
91,1611,651,228.4841351166422,CRITICAL
92,1634,656,215.67104580819372,CRITICAL
93,1648,657,211.28653530218153,CRITICAL
94,1664,658,202.08166665979377,CRITICAL
95,1679,656,196.16319736382766,CRITICAL
96,1690,656,187.0855419320264,CRITICAL
97,1697,658,178.4432682955566,SAFE
