frame,x,y,width,state
76,361,793,204.70710783946902,SAFE
77,388,786,164.02743672934722,SAFE
78,414,774,141.38246001537814,SAFE
79,432,766,138.2208377922808,SAFE
80,471,754,150.72159765607583,SAFE
81,485,750,163.21764610482532,CRITICAL
82,499,748,184.967564724197,CRITICAL
83,514,742,192.93781381574738,CRITICAL
84,526,739,202.12125073826354,CRITICAL
85,542,736,208.19462048765814,CRITICAL
86,560,724,194.74342094150447,CRITICAL
87,576,721,183.22117781522965,SAFE
88,595,717,167.0748335327616,SAFE
89,611,710,159.07859692617356,SAFE
90,626,709,146.21901381147393,SAFE
91,639,706,139.0323703315167,SAFE
92,655,702,134.30189872075525,SAFE
93,671,698,123.68508398347798,SAFE
94,684,695,122.80065146407001,SAFE
95,695,692,115.35163631262454,SAFE
96,732,682,187.41664813991312,CRITICAL
97,718,688,105.38500842150178,SAFE
98,726,688,99.50376877284599,SAFE
99,735,683,93.02150289046077,SAFE
100,747,679,89.00561780022652,SAFE
101,755,679,87.05170877128145,SAFE
102,766,676,83.02409288875127,SAFE
103,775,676,81.0,SAFE
104,785,674,77.0,SAFE
105,816,668,142.28492541376264,CRITICAL
106,802,671,68.0294054067798,SAFE
107,809,671,61.00819617067857,SAFE
108,826,665,51.0098029794274,SAFE
109,833,666,53.03772242470448,SAFE
110,841,664,50.0,SAFE
111,851,663,50.0,SAFE
112,860,663,51.15662224971465,SAFE
113,869,662,55.226805085936306,SAFE
114,875,662,48.373546489791295,SAFE
115,883,662,49.36598018878993,SAFE
116,891,661,42.579337712087536,SAFE
117,898,660,40.792156108742276,SAFE
118,906,660,40.11234224026316,SAFE
119,914,659,37.013511046643494,SAFE
120,921,660,36.0,SAFE
121,930,659,36.05551275463989,SAFE
122,938,660,33.0,SAFE
123,946,659,31.016124838541646,SAFE
124,956,658,32.2490309931942,SAFE
125,971,655,29.0,SAFE
126,980,654,21.095023109728988,SAFE
127,989,654,21.02379604162864,SAFE
128,997,654,24.08318915758459,SAFE
129,1005,653,20.09975124224178,SAFE
130,1014,653,17.029386365926403,SAFE
131,1023,653,20.024984394500787,SAFE
132,1031,654,18.027756377319946,SAFE
133,1039,653,15.033296378372908,SAFE
134,1050,654,13.038404810405298,SAFE
135,1057,654,11.704699910719626,SAFE
136,1065,654,11.180339887498949,SAFE
137,1073,653,10.0,SAFE
138,1090,652,7.280109889280518,SAFE
139,1097,652,8.06225774829855,SAFE
140,1105,652,8.06225774829855,SAFE
141,1112,651,11.0,SAFE
142,1119,652,10.0,SAFE
143,1128,653,8.0,SAFE
144,1136,652,1.4142135623730951,SAFE
145,1145,652,4.0,SAFE
146,1153,650,3.0,SAFE
147,1160,651,1.0,SAFE
150,1195,649,2.0,SAFE
151,1202,650,2.23606797749979,SAFE
152,1210,650,5.0,SAFE
154,1227,649,4.47213595499958,SAFE
155,1235,649,7.0710678118654755,SAFE
158,1248,648,6.082762530298219,SAFE
159,1250,649,6.324555320336759,SAFE
160,1252,649,3.605551275463989,SAFE
161,1253,649,5.0,SAFE
162,1254,649,6.4031242374328485,SAFE
163,1254,648,6.708203932499369,SAFE
164,1254,633,6.324555320336759,SAFE
165,1253,623,6.324555320336759,SAFE
166,1254,642,9.433981132056603,SAFE
167,1254,646,9.486832980505138,SAFE
