frame,x,y,width,state
1,991,615,62.39390995922599,SAFE
2,992,615,62.51399843235114,SAFE
3,992,616,64.4980619863884,SAFE
4,994,615,65.49045732013177,SAFE
5,995,615,67.47592163134935,SAFE
6,997,618,69.02897942168927,SAFE
7,998,617,70.00714249274856,SAFE
8,999,617,70.02856560004639,SAFE
9,1000,618,71.11258679024411,SAFE
10,1002,618,71.02816342831905,SAFE
11,1003,618,73.00684899377592,SAFE
12,1004,617,75.0,SAFE
13,1005,618,76.00657866263946,SAFE
14,1006,618,78.02563681252464,SAFE
15,1008,619,79.05694150420949,SAFE
16,1009,620,81.09870529176159,SAFE
17,1010,620,82.15229759416349,SAFE
18,1012,620,85.09406559801923,SAFE
19,1014,621,89.02246907382428,SAFE
20,1015,621,89.08984229416954,SAFE
21,1017,622,90.0499861188218,SAFE
22,1018,622,93.13431161500041,SAFE
23,1020,623,95.1892851112981,SAFE
24,1021,623,96.13012014972206,SAFE
25,1023,623,98.08159868191383,SAFE
26,1025,624,102.17631819555841,SAFE
27,1026,624,101.24228365658294,SAFE
28,1027,624,105.23307464861035,SAFE
29,1028,625,106.38138934982942,SAFE
30,1031,626,110.2905254316979,SAFE
31,1033,626,114.35471131527551,SAFE
32,1035,627,117.42657280190033,SAFE
33,1036,628,117.42657280190033,SAFE
34,1039,629,122.494897852931,SAFE
35,1043,631,130.86252328302402,SAFE
36,1046,632,132.84953895290718,SAFE
37,1046,635,135.34031180694095,SAFE
38,1049,635,137.93114224133723,SAFE
39,1051,636,143.01398533010678,SAFE
40,1054,638,149.6262009141447,WARNING
41,1057,639,155.7080601638849,WARNING
42,1061,641,161.78998732925348,WARNING
43,1065,643,170.1558109498468,CRITICAL
