frame,x,y,width,state
1,473,643,78.23042886243178,SAFE
2,477,644,78.10249675906654,SAFE
3,481,644,79.05694150420949,SAFE
4,485,645,79.05694150420949,SAFE
5,490,644,77.05841939723393,SAFE
6,490,645,84.0535543567314,SAFE
7,494,645,78.05767098754612,SAFE
8,498,646,81.05553651663777,SAFE
9,501,646,81.05553651663777,SAFE
10,504,646,80.09993757800315,SAFE
11,508,646,80.09993757800315,SAFE
12,510,647,83.00602387778854,SAFE
13,515,647,79.00632886041473,SAFE
14,517,648,80.00624975587844,SAFE
15,519,648,82.02438661763951,SAFE
16,522,649,83.00602387778854,SAFE
17,524,649,84.00595217006948,SAFE
18,526,651,84.1486779456457,SAFE
19,528,651,85.09406559801923,SAFE
20,531,652,89.05054744357274,SAFE
21,534,652,90.00555538409837,SAFE
22,536,653,88.0056816347672,SAFE
23,538,653,89.0,SAFE
24,539,653,89.02246907382428,SAFE
25,541,653,83.02409288875127,SAFE
26,541,654,83.05419917138447,SAFE
27,541,655,88.09086218218096,SAFE
28,542,655,92.02173656261873,SAFE
29,544,656,93.02150289046077,SAFE
30,545,657,94.04786015641186,SAFE
31,547,657,98.04590761474952,SAFE
32,550,659,97.082439194738,SAFE
33,551,658,95.00526301210897,SAFE
34,551,660,96.18731725128839,SAFE
35,552,661,97.12878049270464,SAFE
36,553,663,98.50888284819801,SAFE
37,555,662,102.23991392797629,SAFE
38,553,663,106.30145812734649,SAFE
39,555,666,103.69667304209909,SAFE
40,554,669,102.42070103255493,SAFE
41,554,668,106.6770828247567,SAFE
42,554,670,105.92922165295089,SAFE
43,553,670,105.22357150372724,SAFE
44,551,673,103.07764064044152,SAFE
45,549,675,102.61578825892242,SAFE
46,547,675,101.65136496870073,SAFE
47,544,679,101.84301645179212,SAFE
48,538,683,107.33592129385204,SAFE
49,535,686,112.25862995778988,SAFE
50,530,689,111.36426715962351,SAFE
51,524,689,106.51291001564083,SAFE
52,601,678,192.41881404893857,CRITICAL
53,594,678,194.64069461446135,CRITICAL
54,487,692,78.23042886243178,SAFE
56,484,616,233.57439928211312,CRITICAL
57,465,571,238.65037188322168,CRITICAL
