frame,x,y,width,state
1,893,610,67.06713054842886,SAFE
2,893,610,65.12296062065974,SAFE
3,893,610,65.19202405202648,SAFE
4,892,611,63.387695966961914,SAFE
5,891,611,63.28506932918696,SAFE
6,890,612,62.51399843235114,SAFE
7,889,614,62.03224967708329,SAFE
8,889,613,61.1310068623117,SAFE
9,886,614,58.137767414994535,SAFE
10,885,615,58.42088667591412,SAFE
11,883,615,56.142675390472796,SAFE
12,881,616,54.3323108288245,SAFE
13,877,616,61.40032573203501,SAFE
14,874,616,59.30430001273095,SAFE
15,872,616,56.32051136131489,SAFE
16,868,617,55.44366510251645,SAFE
17,865,618,56.32051136131489,SAFE
18,863,619,55.44366510251645,SAFE
19,859,619,56.568542494923804,SAFE
20,854,619,53.9351462406472,SAFE
21,850,620,51.97114584074513,SAFE
22,844,621,55.731499172371095,SAFE
23,839,621,51.97114584074513,SAFE
24,834,621,51.19570294468082,SAFE
25,828,622,53.150729063673246,SAFE
26,821,623,50.695167422546305,SAFE
27,812,622,52.88667128870941,SAFE
