frame,x,y,width,state
16,851,621,56.0,SAFE
19,854,621,60.0,SAFE
20,855,621,61.00819617067857,SAFE
21,857,621,62.00806399170998,SAFE
22,859,622,64.00781202322104,SAFE
23,864,622,60.07495318350236,SAFE
24,868,622,65.12296062065974,SAFE
25,872,623,68.26419266350405,SAFE
26,873,623,70.25667228100119,SAFE
27,878,623,74.24284477308234,SAFE
28,882,624,75.16648189186454,SAFE
29,887,623,77.1621668954417,SAFE
30,890,624,78.05767098754612,SAFE
31,895,624,82.15229759416349,SAFE
32,900,624,85.05292469985967,SAFE
33,905,624,87.14355971613737,SAFE
34,913,624,87.09190547921202,SAFE
35,917,624,87.02298546935747,SAFE
36,924,625,89.1403387922662,SAFE
37,931,625,92.0869154657707,SAFE
38,939,624,90.0222194794152,SAFE
39,954,625,98.0,SAFE
40,962,625,100.0,SAFE
41,970,625,104.01922899156675,SAFE
42,981,625,105.04284840006957,SAFE
43,990,626,106.0,SAFE
44,1002,626,104.01922899156675,SAFE
45,1023,626,111.01801655587259,SAFE
46,1034,627,110.0,SAFE
47,1046,628,116.00431026474836,SAFE
48,1058,628,113.03981599418853,SAFE
49,1070,629,116.00431026474836,SAFE
50,1084,629,120.00416659433121,SAFE
51,1098,629,120.01666550941998,SAFE
52,1112,630,121.01652779682617,SAFE
53,1127,631,121.06609764917675,SAFE
54,1141,631,124.14507642270796,SAFE
55,1156,635,123.06502346320826,SAFE
56,1173,634,127.39309243440164,SAFE
57,1191,636,131.13733259449805,SAFE
58,1206,635,128.65846260545786,SAFE
59,1227,637,138.1774221788784,SAFE
60,1245,637,142.1724305201258,WARNING
61,1263,636,141.088624630053,SAFE
62,1303,638,144.22205101855957,SAFE
63,1325,638,148.27339613025663,SAFE
64,1347,639,150.2131818450032,SAFE
65,1371,638,156.11534197509224,WARNING
66,1392,638,155.08062419270823,SAFE
67,1416,638,155.0129026887762,SAFE
68,1465,640,157.20368952413298,SAFE
69,1494,642,171.29214809792072,CRITICAL
70,1519,642,176.22996340009834,CRITICAL
