frame,x,y,width,state
1,702,589,86.05230967266364,SAFE
2,703,590,86.20904824900923,SAFE
3,704,591,90.19977827023745,SAFE
4,708,592,84.48076704197234,SAFE
5,708,593,93.53608929178085,SAFE
6,710,593,95.33624704172071,SAFE
7,713,594,98.2496819333274,SAFE
8,714,595,100.40418317978589,SAFE
9,715,596,102.48902380255166,SAFE
10,719,595,100.24470060806208,SAFE
11,721,596,101.31633629380802,SAFE
12,723,597,104.58011283222064,SAFE
13,724,598,105.47511554864494,SAFE
14,727,598,108.55873986004075,SAFE
15,730,600,112.53888216967503,SAFE
16,732,600,114.6298390472568,SAFE
17,736,600,116.52038448271615,SAFE
18,739,601,120.70211265756701,SAFE
19,741,602,122.494897852931,SAFE
20,743,602,123.3288287465668,SAFE
21,749,603,128.65846260545786,SAFE
22,752,604,131.7459676802292,SAFE
23,757,605,138.1774221788784,SAFE
24,760,606,140.91131963046828,SAFE
25,764,607,144.00694427700353,SAFE
26,769,609,152.190669884852,WARNING
27,773,610,156.41611170208776,WARNING
28,781,613,167.45148551147582,CRITICAL
29,786,615,170.48460341039598,CRITICAL
30,789,617,175.93464695732902,CRITICAL
31,795,620,186.1316738225926,CRITICAL
32,801,619,191.049731745428,CRITICAL
33,807,619,196.78668654154427,CRITICAL
34,813,623,205.36065835500236,CRITICAL
35,819,625,212.42645786248002,CRITICAL
36,828,628,224.1628872048181,CRITICAL
37,835,630,233.00214591286493,CRITICAL
38,843,631,242.4912369550702,CRITICAL
39,851,634,253.39692184397188,CRITICAL
40,871,641,272.88275870783775,CRITICAL
41,878,638,291.83043021590464,CRITICAL
42,893,637,314.6362979695763,CRITICAL
43,907,629,326.18553002854065,CRITICAL
