frame,x,y,width,state
1,1040,610,97.12878049270464,SAFE
2,1047,608,96.00520819205592,SAFE
3,1055,608,97.0,SAFE
4,1064,610,99.08077512817509,SAFE
5,1071,611,101.07917688624102,SAFE
6,1079,611,102.0196059588548,SAFE
7,1086,612,107.00467279516349,SAFE
8,1096,612,107.0420478129973,SAFE
9,1104,613,106.01886624558857,SAFE
10,1112,613,107.0420478129973,SAFE
11,1121,614,109.00458705944443,SAFE
12,1129,615,112.0044641967453,SAFE
13,1137,616,112.0,SAFE
14,1145,617,118.03812943282352,SAFE
15,1155,617,118.10588469674151,SAFE
16,1164,618,122.06555615733703,SAFE
17,1172,619,125.14391715141412,SAFE
18,1181,620,123.25988804148737,SAFE
19,1192,622,127.39309243440164,SAFE
20,1200,623,130.4645545732633,SAFE
21,1210,623,133.4541119636259,SAFE
22,1220,623,136.5283853270081,SAFE
23,1228,624,138.61096637712328,SAFE
24,1248,625,143.68368035375485,SAFE
25,1260,626,150.65191668213185,WARNING
26,1269,627,152.73833834371774,WARNING
27,1280,627,154.72879499304582,SAFE
28,1291,628,158.80806024884254,SAFE
29,1304,629,164.98484778912274,CRITICAL
30,1314,630,166.97305171793442,CRITICAL
31,1325,630,172.16561793807728,CRITICAL
32,1338,632,176.91806012954132,CRITICAL
33,1350,632,181.10770276274835,CRITICAL
34,1364,635,193.04144632694815,CRITICAL
35,1376,634,192.37983262286096,CRITICAL
36,1389,638,198.13379318026495,CRITICAL
37,1405,638,210.01190442448734,CRITICAL
38,1419,640,209.16261616264032,CRITICAL
39,1434,641,222.92599668948438,CRITICAL
40,1452,645,233.98504225697846,CRITICAL
41,1468,645,240.52026941611388,CRITICAL
42,1484,648,247.8911051248108,CRITICAL
43,1502,650,263.97348351681086,CRITICAL
44,1521,651,274.17147918775214,CRITICAL
45,1537,652,271.82715096178305,CRITICAL
