frame,x,y,width,state
1,837,561,67.0,SAFE
2,837,561,67.0,SAFE
3,837,561,67.0,SAFE
4,838,561,68.0,SAFE
5,842,560,62.00806399170998,SAFE
6,844,561,62.00806399170998,SAFE
7,845,560,63.00793600809346,SAFE
8,847,561,65.0,SAFE
9,849,561,67.00746227100382,SAFE
10,852,561,68.0,SAFE
11,855,561,67.00746227100382,SAFE
12,857,562,69.0,SAFE
13,860,562,70.02856560004639,SAFE
14,863,563,72.00694410957877,SAFE
15,867,563,65.00769185258002,SAFE
16,869,563,65.00769185258002,SAFE
17,872,563,68.06614430096654,SAFE
18,873,562,69.02897942168927,SAFE
19,876,562,70.00714249274856,SAFE
20,878,562,71.00704190430693,SAFE
21,880,563,71.02816342831905,SAFE
22,884,562,71.00704190430693,SAFE
23,887,565,75.1065909225016,SAFE
24,888,565,76.05918747922567,SAFE
25,891,565,76.02631123499285,SAFE
26,896,564,75.1065909225016,SAFE
27,898,564,76.16429609731846,SAFE
28,899,564,78.16009211867653,SAFE
29,902,565,77.00649323271382,SAFE
30,904,564,80.15609770940699,SAFE
31,906,565,80.22468448052632,SAFE
32,909,565,82.29823813423954,SAFE
33,913,567,81.00617260431454,SAFE
34,915,567,83.00602387778854,SAFE
35,919,568,86.09297300012354,SAFE
36,922,569,87.09190547921202,SAFE
37,926,567,85.14693182963201,SAFE
38,928,569,86.14522621712709,SAFE
39,931,570,88.14193099768123,SAFE
40,932,570,90.08884503644167,SAFE
41,935,570,92.02173656261873,SAFE
42,937,569,92.02173656261873,SAFE
43,939,570,92.04890004774636,SAFE
44,941,571,92.02173656261873,SAFE
45,944,571,93.08598175880189,SAFE
46,946,571,94.08506789071261,SAFE
47,948,571,99.04544411531506,SAFE
48,949,571,101.07917688624102,SAFE
49,954,573,105.11898020814318,SAFE
50,956,573,106.23088063270491,SAFE
51,958,575,108.2266141020775,SAFE
52,959,575,109.22453936730518,SAFE
53,961,576,104.17293314484334,SAFE
54,961,576,110.3675676999362,SAFE
55,964,577,108.46197490364999,SAFE
56,965,577,109.55363982999378,SAFE
57,964,578,115.43396380615195,SAFE
58,967,579,112.36102527122117,SAFE
59,967,579,114.28035701729323,SAFE
60,968,582,117.957619508025,SAFE
61,968,582,117.51595636338071,SAFE
62,968,583,116.72617529928752,SAFE
63,966,583,119.60351165413162,SAFE
64,965,585,117.83462988442744,SAFE
65,964,586,116.1077086157504,SAFE
66,962,585,117.957619508025,SAFE
67,962,586,122.05326705991938,SAFE
68,960,587,122.80065146407001,SAFE
69,958,588,127.1416532848303,SAFE
70,955,587,128.9961239727768,SAFE
71,952,590,125.78155667664477,SAFE
72,948,593,122.18837915284743,SAFE
73,943,595,124.95199078045935,SAFE
74,938,598,123.5556554755791,SAFE
75,931,597,116.49892703368559,SAFE
76,926,603,118.96217886370441,SAFE
77,917,606,122.00409829181969,SAFE
78,909,609,121.63058825805291,SAFE
79,899,614,128.35108102388543,SAFE
80,889,614,120.74767078498864,SAFE
