frame,x,y,width,state
129,548,650,111.00450441310929,SAFE
130,530,650,111.0,SAFE
133,487,650,98.00510190801293,SAFE
135,488,649,107.00467279516349,SAFE
136,489,649,108.00462953040486,SAFE
137,489,649,105.00476179678711,SAFE
138,488,649,107.00467279516349,SAFE
139,489,648,105.04284840006957,SAFE
140,489,649,104.01922899156675,SAFE
141,489,649,105.01904589168576,SAFE
142,488,649,107.00467279516349,SAFE
143,489,649,105.00476179678711,SAFE
144,489,649,103.00485425454472,SAFE
145,488,649,106.00471687618433,SAFE
146,489,649,105.01904589168576,SAFE
147,488,649,107.01868995647442,SAFE
148,488,649,107.00467279516349,SAFE
149,487,649,109.00458705944443,SAFE
150,488,649,108.00462953040486,SAFE
151,488,649,108.01851693112621,SAFE
152,487,649,109.00458705944443,SAFE
153,489,647,102.00490184299969,SAFE
154,488,647,106.0,SAFE
155,488,650,106.00471687618433,SAFE
156,488,647,107.0420478129973,SAFE
