frame,x,y,width,state
2,969,615,56.00892785976178,SAFE
3,967,615,54.037024344425184,SAFE
4,966,616,53.03772242470448,SAFE
5,965,615,52.08646657242167,SAFE
6,964,615,50.08991914547278,SAFE
7,962,615,50.08991914547278,SAFE
8,960,616,48.16637831516918,SAFE
9,959,616,47.265209192385896,SAFE
10,956,617,46.2709412050371,SAFE
11,953,617,47.38143096192854,SAFE
12,950,618,46.2709412050371,SAFE
13,947,618,47.16990566028302,SAFE
14,943,619,46.2709412050371,SAFE
15,936,619,50.35871324805669,SAFE
16,932,619,47.853944456021594,SAFE
17,928,619,46.2709412050371,SAFE
18,923,620,43.174066289845804,SAFE
