frame,x,y,width,state
1,1367,727,383.13052606128895,SAFE
2,1368,727,381.8861086763958,CRITICAL
3,1368,727,381.8861086763958,CRITICAL
4,1368,727,381.8861086763958,CRITICAL
5,1368,728,381.6018867877883,CRITICAL
6,1368,728,380.3603554525629,CRITICAL
7,1368,728,379.40084343606827,CRITICAL
8,1367,728,382.5611062301028,CRITICAL
9,1368,728,380.9278146840947,CRITICAL
10,1368,727,381.6018867877883,CRITICAL
11,1368,727,379.969735636932,CRITICAL
12,1368,727,382.172735814579,CRITICAL
13,1368,727,381.6018867877883,CRITICAL
14,1368,727,381.6018867877883,CRITICAL
15,1368,727,380.9278146840947,CRITICAL
16,1368,728,381.8861086763958,CRITICAL
17,1368,727,381.8861086763958,CRITICAL
18,1367,727,382.8446159997552,CRITICAL
19,1366,728,386.4000517598309,CRITICAL
20,1366,728,386.4000517598309,CRITICAL
21,1368,728,380.9278146840947,CRITICAL
22,1367,728,382.8446159997552,CRITICAL
23,1368,727,380.64287724847816,CRITICAL
24,1368,727,382.172735814579,CRITICAL
25,1367,727,382.8446159997552,CRITICAL
26,1368,727,381.8861086763958,CRITICAL
27,1367,728,382.8446159997552,CRITICAL
28,1368,727,380.64287724847816,CRITICAL
29,1368,727,380.64287724847816,CRITICAL
30,1368,727,380.64287724847816,CRITICAL
31,1368,728,379.68407920269715,CRITICAL
32,1368,728,380.64287724847816,CRITICAL
33,1368,728,380.64287724847816,CRITICAL
34,1369,727,377.09680454758563,CRITICAL
35,1368,728,379.969735636932,CRITICAL
36,1368,727,379.969735636932,CRITICAL
37,1364,727,384.37611788455325,CRITICAL
38,1356,726,382.00130889828114,CRITICAL
39,1345,724,376.9615364994153,CRITICAL
40,1068,666,414.406804963432,CRITICAL
41,1302,719,366.75059645486607,CRITICAL
42,1274,717,364.83694988309503,CRITICAL
43,1244,714,359.08355573598743,CRITICAL
44,1211,709,362.80159867343474,CRITICAL
45,1182,708,352.8413241104279,CRITICAL
46,1149,706,338.7816405887427,CRITICAL
47,1114,705,321.3051509079803,CRITICAL
48,1075,704,326.01380338875225,CRITICAL
49,1040,702,317.1277345171816,CRITICAL
50,1011,700,302.2002647252315,CRITICAL
51,952,692,279.21676167450977,CRITICAL
52,924,690,265.1886121235224,CRITICAL
53,900,688,256.0703028466987,CRITICAL
54,875,685,248.16325271885037,CRITICAL
55,848,684,249.20072231034965,CRITICAL
56,826,678,241.03319273494262,CRITICAL
57,806,675,229.0349318335524,CRITICAL
58,787,673,219.00228309312212,CRITICAL
59,768,669,216.00231480241132,CRITICAL
60,749,668,208.0384579831335,CRITICAL
61,734,665,199.00251254695254,CRITICAL
62,716,663,195.00256408570633,CRITICAL
63,701,662,189.0026454841307,CRITICAL
64,686,660,184.0108692441835,CRITICAL
65,673,659,178.0028089666003,SAFE
66,659,658,177.0,SAFE
67,634,654,166.0,SAFE
68,621,653,165.04847772699995,SAFE
69,610,652,160.0,SAFE
70,600,652,154.00324671902212,SAFE
71,587,652,155.0,SAFE
72,575,651,153.05227865013967,SAFE
73,566,651,146.05478424207814,SAFE
74,556,651,144.08677940741129,SAFE
75,546,649,141.0319112825179,SAFE
76,537,649,140.089257261219,SAFE
77,530,646,133.00375934536586,SAFE
78,522,645,131.0,SAFE
79,514,645,129.0,SAFE
80,503,643,118.03812943282352,SAFE
83,484,641,105.00476179678711,SAFE
84,480,641,102.0196059588548,SAFE
85,478,639,102.0196059588548,SAFE
86,473,639,99.00505037623081,SAFE
87,469,639,100.07996802557443,SAFE
88,466,639,99.08077512817509,SAFE
89,461,638,96.04686356149273,SAFE
90,454,638,94.04786015641186,SAFE
91,453,638,93.04837451562494,SAFE
92,447,635,90.0,SAFE
93,446,635,89.0,SAFE
94,445,635,90.0,SAFE
95,441,634,92.00543462209176,SAFE
96,437,633,86.02325267042627,SAFE
97,434,633,85.00588214941364,SAFE
98,432,632,84.09518416651456,SAFE
99,429,632,81.05553651663777,SAFE
100,428,631,80.05623023850174,SAFE
101,425,630,82.02438661763951,SAFE
102,422,630,77.05841939723393,SAFE
103,420,630,78.05767098754612,SAFE
104,414,629,77.02596964660685,SAFE
105,413,628,77.05841939723393,SAFE
106,414,629,76.02631123499285,SAFE
