frame,x,y,width,state
65,100,646,142.12670403551894,SAFE
66,116,644,133.09395177843356,SAFE
67,138,641,112.0714058089752,SAFE
68,157,640,94.53041838477179,SAFE
69,177,638,78.16009211867653,SAFE
70,195,635,58.0,SAFE
71,213,633,43.01162633521314,SAFE
72,232,632,32.01562118716424,SAFE
73,249,631,19.0,SAFE
74,265,629,4.0,SAFE
75,283,626,9.219544457292887,SAFE
76,308,625,3.605551275463989,SAFE
77,322,624,12.165525060596439,SAFE
78,343,624,8.06225774829855,SAFE
79,360,622,12.041594578792296,SAFE
80,378,621,8.06225774829855,SAFE
81,396,622,6.4031242374328485,SAFE
82,412,620,3.0,SAFE
83,430,621,3.0,SAFE
84,447,618,2.8284271247461903,SAFE
85,464,618,5.656854249492381,SAFE
86,496,616,3.1622776601683795,SAFE
87,511,614,1.4142135623730951,SAFE
88,525,613,7.0710678118654755,SAFE
89,538,613,2.8284271247461903,SAFE
90,551,612,3.1622776601683795,SAFE
91,566,610,9.433981132056603,SAFE
92,577,609,6.708203932499369,SAFE
93,589,608,7.0,SAFE
94,601,606,3.1622776601683795,SAFE
95,614,605,6.082762530298219,SAFE
96,625,605,7.0710678118654755,SAFE
97,637,604,7.280109889280518,SAFE
98,648,603,11.0,SAFE
99,659,603,10.198039027185569,SAFE
100,681,603,7.615773105863909,SAFE
101,690,601,10.770329614269007,SAFE
102,701,601,13.0,SAFE
103,711,600,12.041594578792296,SAFE
104,723,601,9.486832980505138,SAFE
105,733,602,5.0,SAFE
106,744,601,5.830951894845301,SAFE
107,755,601,5.656854249492381,SAFE
108,765,601,5.0,SAFE
109,774,600,7.211102550927978,SAFE
110,785,600,9.486832980505138,SAFE
111,795,600,10.770329614269007,SAFE
112,805,599,8.94427190999916,SAFE
113,815,599,14.035668847618199,SAFE
114,825,600,9.055385138137417,SAFE
115,835,599,10.0,SAFE
116,846,598,8.246211251235321,SAFE
117,855,598,8.246211251235321,SAFE
118,866,598,10.04987562112089,SAFE
119,874,601,9.055385138137417,SAFE
120,884,598,17.029386365926403,SAFE
121,894,597,14.317821063276353,SAFE
122,904,598,16.0312195418814,SAFE
123,911,597,18.110770276274835,SAFE
124,921,596,15.297058540778355,SAFE
125,929,597,16.278820596099706,SAFE
127,948,596,11.40175425099138,SAFE
128,954,596,14.866068747318506,SAFE
