frame,x,y,width,state
42,1522,627,45.09988913511872,SAFE
43,1524,628,45.0111097397076,SAFE
48,1519,630,57.0,SAFE
49,1519,630,56.00892785976178,SAFE
50,1519,630,57.0087712549569,SAFE
51,1518,630,57.0350769263968,SAFE
52,1517,630,60.03332407921454,SAFE
53,1516,631,60.207972893961475,SAFE
54,1515,631,62.07253821135398,SAFE
55,1514,631,59.07622195096772,SAFE
56,1513,631,58.077534382926416,SAFE
57,1512,632,57.21887800367987,SAFE
58,1510,631,59.413803110051795,SAFE
60,1506,634,54.00925846556311,SAFE
61,1504,634,55.0,SAFE
63,1498,636,63.071388124885914,SAFE
64,1496,636,61.1310068623117,SAFE
65,1495,637,60.13318551349163,SAFE
66,1527,634,63.89053137985315,SAFE
67,1484,638,57.42821606144492,SAFE
68,1480,637,57.21887800367987,SAFE
69,1476,639,53.75872022286245,SAFE
70,1468,640,58.54912467321779,SAFE
71,1463,639,56.293871780150276,SAFE
72,1458,639,55.08175741568164,SAFE
