frame,x,y,width,state
1,1111,597,77.0,SAFE
2,1122,596,80.02499609497022,SAFE
3,1131,596,81.00617260431454,SAFE
4,1142,596,81.0,SAFE
5,1152,596,88.0056816347672,SAFE
6,1164,596,84.00595217006948,SAFE
7,1174,596,84.02380615040002,SAFE
8,1185,596,88.05112151472007,SAFE
9,1196,596,87.09190547921202,SAFE
10,1208,596,87.05170877128145,SAFE
11,1219,597,86.0,SAFE
12,1230,596,91.0,SAFE
13,1246,597,86.00581375697809,SAFE
14,1258,596,86.0,SAFE
15,1271,598,87.02298546935747,SAFE
16,1288,598,89.05054744357274,SAFE
17,1301,598,95.00526301210897,SAFE
18,1313,598,94.13288479590966,SAFE
19,1327,599,97.04638066409278,SAFE
20,1343,598,96.04686356149273,SAFE
21,1356,598,94.08506789071261,SAFE
22,1371,598,93.00537618869137,SAFE
23,1385,598,95.02105029939419,SAFE
24,1399,599,96.02083107326243,SAFE
25,1414,598,95.0,SAFE
26,1430,598,94.04786015641186,SAFE
27,1444,598,94.0,SAFE
28,1458,599,91.00549433962765,SAFE
29,1474,598,89.00561780022652,SAFE
37,1584,599,84.00595217006948,SAFE
38,1581,598,83.15046602394962,SAFE
