frame,x,y,width,state
1,1302,618,256.03124809288414,SAFE
2,1270,615,247.00809703327542,CRITICAL
3,1239,611,232.0021551624036,CRITICAL
4,1213,610,215.03720608304042,CRITICAL
5,1185,606,210.03809178337153,CRITICAL
6,1157,602,201.03979705520993,CRITICAL
7,1138,599,192.31484602078956,CRITICAL
8,1117,596,183.3930205869351,SAFE
9,1097,596,176.34341496069538,SAFE
10,1075,592,169.42549985170473,SAFE
11,1059,591,165.873445734994,SAFE
12,1041,591,161.5239920259526,SAFE
13,1027,590,155.0290295396317,SAFE
14,1012,590,153.16004700965587,SAFE
15,999,591,144.08677940741129,SAFE
16,986,589,139.0323703315167,SAFE
17,975,588,133.06013678032951,SAFE
18,964,588,129.0155029444136,SAFE
19,954,586,124.00403219250575,SAFE
20,943,587,123.01625908797584,SAFE
21,933,585,117.03845521878696,SAFE
22,925,585,115.00434774390054,SAFE
23,915,584,110.01818031580054,SAFE
24,909,583,110.01818031580054,SAFE
25,900,583,105.0,SAFE
26,889,582,102.0,SAFE
27,882,581,95.00526301210897,SAFE
28,877,581,95.04735661763561,SAFE
29,873,580,91.08786966440702,SAFE
30,868,579,89.00561780022652,SAFE
31,861,577,88.05112151472007,SAFE
32,858,576,88.0,SAFE
33,855,577,84.00595217006948,SAFE
34,850,576,83.00602387778854,SAFE
35,847,575,78.02563681252464,SAFE
36,844,576,78.05767098754612,SAFE
37,842,575,75.02666192761077,SAFE
38,839,575,75.02666192761077,SAFE
39,836,575,72.00694410957877,SAFE
40,835,574,74.0,SAFE
41,831,573,69.02897942168927,SAFE
42,830,572,69.02897942168927,SAFE
43,828,572,67.02984409947557,SAFE
44,827,572,65.03076195155643,SAFE
45,825,571,64.0,SAFE
46,824,571,63.00793600809346,SAFE
47,822,570,64.07027391856539,SAFE
48,822,571,65.00769185258002,SAFE
49,822,570,64.00781202322104,SAFE
51,818,570,59.033888572581766,SAFE
52,817,570,59.0,SAFE
53,817,570,58.0,SAFE
54,816,567,56.22277118748239,SAFE
56,816,566,53.03772242470448,SAFE
57,816,566,53.03772242470448,SAFE
58,816,565,52.08646657242167,SAFE
59,817,566,52.15361924162119,SAFE
60,817,565,53.08483775994799,SAFE
61,817,566,51.03920062069938,SAFE
62,818,565,49.09175083453431,SAFE
63,819,565,46.09772228646444,SAFE
64,820,564,46.09772228646444,SAFE
65,821,564,44.10215414239989,SAFE
66,821,564,46.04345773288535,SAFE
67,821,564,45.044422518220834,SAFE
68,823,564,44.01136216933077,SAFE
69,826,563,45.044422518220834,SAFE
70,827,564,45.044422518220834,SAFE
71,828,564,44.10215414239989,SAFE
