frame,x,y,width,state
4,450,619,48.093658625644196,SAFE
18,450,619,48.16637831516918,SAFE
21,450,619,49.09175083453431,SAFE
22,450,619,48.093658625644196,SAFE
23,450,619,48.16637831516918,SAFE
24,450,619,48.093658625644196,SAFE
26,451,619,49.16299421312742,SAFE
27,452,619,51.24451190127583,SAFE
28,454,619,54.230987451824994,SAFE
29,456,619,57.07889277132134,SAFE
30,459,619,60.07495318350236,SAFE
32,463,618,65.12296062065974,SAFE
33,469,618,69.18092222571191,SAFE
34,473,619,74.06078584514209,SAFE
35,479,619,75.23961722390672,SAFE
36,484,620,76.05918747922567,SAFE
37,490,619,79.22752047110903,SAFE
38,494,619,83.2946576918352,SAFE
39,500,619,78.10249675906654,SAFE
40,508,619,83.09632964216891,SAFE
41,514,618,84.2140130857092,SAFE
42,522,620,87.00574693662483,SAFE
43,529,619,81.09870529176159,SAFE
44,536,618,85.21150157109074,SAFE
45,543,619,83.09632964216891,SAFE
46,553,618,84.2140130857092,SAFE
47,560,619,86.20904824900923,SAFE
48,568,619,88.20430828479978,SAFE
49,578,619,86.14522621712709,SAFE
50,585,619,91.44397191723465,SAFE
51,594,621,90.27181176868004,SAFE
52,603,620,86.20904824900923,SAFE
53,612,621,92.19544457292888,SAFE
54,621,620,93.53608929178085,SAFE
55,628,621,96.25487000666512,SAFE
56,638,621,88.45903006477066,SAFE
57,647,621,89.27485648266257,SAFE
58,657,621,95.1892851112981,SAFE
59,665,621,92.43916918709297,SAFE
60,674,621,92.34717104492157,SAFE
61,684,622,94.33981132056604,SAFE
62,693,623,95.08417323613851,SAFE
63,702,624,98.08159868191383,SAFE
64,713,624,97.04638066409278,SAFE
65,723,624,97.04638066409278,SAFE
66,732,625,102.00490184299969,SAFE
67,744,625,97.0051545022222,SAFE
68,764,628,102.07840124139877,SAFE
69,775,626,103.01941564578979,SAFE
70,786,626,100.00499987500625,SAFE
71,796,627,105.11898020814318,SAFE
72,807,628,104.0768946500615,SAFE
73,819,628,109.01834707974616,SAFE
74,832,629,109.16501271011697,SAFE
75,843,629,108.16653826391968,SAFE
76,857,630,113.11056537742175,SAFE
77,870,629,115.03912377969506,SAFE
78,885,630,118.06777714516353,SAFE
79,899,630,122.10241602851272,SAFE
80,912,628,121.00413216084813,SAFE
81,925,628,123.00406497347964,SAFE
82,941,629,122.00409829181969,SAFE
83,955,628,124.03628501370073,SAFE
84,969,628,125.03599481749245,SAFE
85,986,629,129.00387591076478,SAFE
86,1000,628,132.015150645674,SAFE
87,1019,629,133.00375934536586,SAFE
88,1034,632,134.05968819895114,SAFE
89,1051,632,134.05968819895114,SAFE
90,1067,631,134.01492454200763,SAFE
91,1084,633,135.0148140020198,SAFE
92,1118,634,137.00364958642524,SAFE
93,1137,635,140.0142849854971,SAFE
94,1156,636,140.089257261219,SAFE
95,1175,638,144.1700384962146,SAFE
96,1196,639,145.34441853748632,SAFE
97,1215,638,143.1258187749506,SAFE
98,1239,640,157.3848785620779,WARNING
99,1258,640,154.3243337908834,WARNING
100,1280,639,158.3161394173064,SAFE
101,1301,641,159.25451327984396,SAFE
102,1326,640,167.10774967068403,CRITICAL
103,1348,641,167.29913329123974,CRITICAL
104,1370,643,165.51132891738862,SAFE
105,1396,640,173.1040149736568,CRITICAL
106,1420,641,171.0730837975396,CRITICAL
107,1446,641,179.10053042914194,CRITICAL
108,1474,641,185.13238506539042,CRITICAL
109,1501,645,189.2643653728826,CRITICAL
110,1525,647,195.4328529188478,CRITICAL
111,1554,649,200.0024999843752,CRITICAL
112,1582,649,200.90047287151916,CRITICAL
113,1606,651,203.3051893090779,CRITICAL
114,1625,650,205.41178155110774,CRITICAL
115,1641,651,209.34421415458323,CRITICAL
116,1650,652,205.54804791094466,CRITICAL
117,1658,653,209.77368757782756,CRITICAL
118,1664,648,208.290662296705,CRITICAL
119,1666,648,206.11889772653063,CRITICAL
120,1668,651,210.85777196963835,CRITICAL
121,1668,651,208.40585404445815,CRITICAL
122,1668,650,204.15680248279753,CRITICAL
