frame,x,y,width,state
1,680,619,94.08506789071261,SAFE
2,684,620,97.12878049270464,SAFE
3,687,620,96.08329719571451,SAFE
4,690,621,98.04590761474952,SAFE
5,693,622,93.13431161500041,SAFE
6,695,622,104.12012293500234,SAFE
7,697,622,109.16501271011697,SAFE
8,701,623,105.23307464861035,SAFE
9,703,624,106.16967551989597,SAFE
10,705,624,107.22872749408155,SAFE
11,707,625,106.38138934982942,SAFE
12,708,627,107.29864864013899,SAFE
13,710,627,107.46627377926528,SAFE
14,711,627,108.46197490364999,SAFE
15,712,628,109.65856099730654,SAFE
16,713,629,107.91200118615167,SAFE
17,713,630,109.89540481748998,SAFE
18,713,631,111.01801655587259,SAFE
19,714,632,112.29425630903836,SAFE
20,714,634,112.14722466472365,SAFE
21,713,636,109.65856099730654,SAFE
22,711,635,105.90561835898981,SAFE
23,709,636,101.9803902718557,SAFE
24,707,637,104.5609869884557,SAFE
25,704,641,99.72462083156798,SAFE
26,702,641,103.58088626768937,SAFE
27,692,646,98.03060746521976,SAFE
28,688,648,93.98404119849285,SAFE
29,683,650,97.40636529508737,SAFE
30,674,651,89.5377015563835,SAFE
31,666,650,84.30895563343196,SAFE
