frame,x,y,width,state
1,1050,558,65.19202405202648,SAFE
2,1050,559,64.1248781675256,SAFE
3,1052,559,66.03029607687671,SAFE
4,1054,559,68.0,SAFE
5,1056,559,68.0,SAFE
6,1060,559,62.0,SAFE
7,1061,559,64.07027391856539,SAFE
8,1064,559,65.06919393998976,SAFE
9,1067,559,65.00769185258002,SAFE
10,1069,560,65.00769185258002,SAFE
11,1072,560,66.007575322837,SAFE
12,1074,560,67.00746227100382,SAFE
13,1077,560,69.00724599634447,SAFE
14,1080,561,70.02856560004639,SAFE
15,1084,561,65.03076195155643,SAFE
16,1085,560,66.007575322837,SAFE
17,1088,561,67.0,SAFE
18,1091,561,70.00714249274856,SAFE
19,1091,560,71.06335201775947,SAFE
20,1095,560,71.00704190430693,SAFE
21,1098,560,72.02777242147643,SAFE
22,1101,561,72.06247289678588,SAFE
23,1104,564,75.32595834106593,SAFE
24,1105,564,75.23961722390672,SAFE
25,1108,563,78.23042886243178,SAFE
27,1114,562,76.00657866263946,SAFE
28,1115,564,78.16009211867653,SAFE
29,1118,563,77.02596964660685,SAFE
30,1120,563,80.05623023850174,SAFE
31,1123,565,80.00624975587844,SAFE
32,1126,566,80.02499609497022,SAFE
33,1128,566,80.00624975587844,SAFE
34,1131,567,82.00609733428362,SAFE
35,1132,567,83.02409288875127,SAFE
36,1134,567,84.02380615040002,SAFE
37,1136,567,86.02325267042627,SAFE
38,1140,569,89.08984229416954,SAFE
39,1144,569,88.09086218218096,SAFE
40,1147,571,90.13878188659973,SAFE
41,1148,570,93.04837451562494,SAFE
42,1150,571,94.08506789071261,SAFE
43,1152,572,94.13288479590966,SAFE
44,1154,572,96.18731725128839,SAFE
45,1156,572,96.33275663033837,SAFE
46,1157,573,98.50888284819801,SAFE
47,1158,573,99.32270636667126,SAFE
48,1160,573,99.50376877284599,SAFE
49,1162,574,101.49384217774002,SAFE
50,1163,574,103.4842983258813,SAFE
51,1220,573,65.19202405202648,SAFE
52,1166,577,104.93807697875924,SAFE
53,1167,577,105.38026380684383,WARNING
54,1168,577,105.92922165295089,SAFE
55,1168,578,106.06601717798213,SAFE
56,1168,578,104.93807697875924,SAFE
57,1167,579,105.57461816175325,SAFE
58,1168,579,108.77959367454909,SAFE
59,1168,580,111.01801655587259,SAFE
60,1166,581,109.48972554536796,SAFE
61,1166,582,110.16805344563369,SAFE
62,1162,582,106.36728820459794,SAFE
63,1157,583,103.40696301506973,SAFE
64,1154,584,102.42070103255493,SAFE
65,1150,584,102.25947388873072,SAFE
66,1145,585,102.1077861869505,SAFE
67,1143,585,101.96568050084302,SAFE
68,1137,586,98.99494936611666,SAFE
69,1132,587,96.87620966986684,SAFE
70,1126,587,99.14131328563285,SAFE
71,1119,590,96.88137075826292,SAFE
72,1110,591,92.57429448826494,SAFE
73,1102,594,95.56673061269805,SAFE
74,1090,595,85.72630868059116,SAFE
75,1080,595,91.21403400793103,SAFE
76,1070,598,92.69843580125827,SAFE
77,1056,600,90.47098982546837,SAFE
78,1042,601,92.57429448826494,SAFE
