frame,x,y,width,state
24,853,593,67.1863081289633,SAFE
25,857,594,69.35416353759881,SAFE
26,863,599,70.0,SAFE
27,869,596,73.00684899377592,SAFE
29,882,596,72.00694410957877,SAFE
31,894,596,75.0066663703967,SAFE
32,902,596,72.0,SAFE
33,908,596,74.00675644831355,SAFE
34,915,597,74.02702209328699,SAFE
35,922,596,76.02631123499285,SAFE
36,929,596,74.0,SAFE
37,945,595,78.00640999302557,SAFE
38,953,596,74.00675644831355,SAFE
39,961,597,79.00632886041473,SAFE
40,968,597,78.02563681252464,SAFE
41,974,597,82.00609733428362,SAFE
42,983,597,80.02499609497022,SAFE
43,991,597,80.00624975587844,SAFE
44,999,598,86.02325267042627,SAFE
45,1008,598,82.05485969764375,SAFE
46,1016,598,83.02409288875127,SAFE
47,1026,598,88.05112151472007,SAFE
48,1033,597,84.00595217006948,SAFE
49,1040,598,84.02380615040002,SAFE
50,1048,598,89.02246907382428,SAFE
51,1055,599,91.00549433962765,SAFE
52,1065,599,89.05054744357274,SAFE
53,1072,600,89.02246907382428,SAFE
54,1081,601,94.08506789071261,SAFE
55,1091,601,91.19758768739445,SAFE
56,1100,602,92.43916918709297,SAFE
57,1107,603,98.50888284819801,SAFE
58,1118,602,94.53041838477179,SAFE
59,1126,603,95.33624704172071,SAFE
60,1133,603,102.39628899525607,SAFE
61,1144,604,99.60923651951158,SAFE
62,1152,604,102.39628899525607,SAFE
63,1161,605,100.40418317978589,SAFE
64,1171,606,104.58011283222064,SAFE
65,1180,605,106.56922632730333,SAFE
66,1190,607,113.7453295744489,SAFE
67,1200,607,110.65260954898443,SAFE
68,1210,607,111.64676439557037,SAFE
69,1231,608,116.61903789690601,SAFE
70,1241,609,120.20399327809372,SAFE
71,1251,608,122.494897852931,SAFE
72,1262,610,123.3288287465668,SAFE
73,1272,610,127.3184982632139,SAFE
74,1284,610,133.37541002748594,SAFE
75,1296,611,135.36986370680884,SAFE
76,1308,611,139.43457247038842,SAFE
77,1320,611,142.59382875847047,SAFE
78,1332,612,146.4923206178399,SAFE
79,1341,612,147.33974345029924,SAFE
80,1355,613,154.46682491719702,SAFE
81,1366,615,156.81836627130127,WARNING
82,1379,615,159.80300372646317,SAFE
83,1390,615,164.77863939236784,WARNING
84,1404,617,166.97305171793442,WARNING
85,1416,617,174.92855684535903,CRITICAL
86,1429,618,179.12007146045917,CRITICAL
87,1458,621,190.91883092036784,CRITICAL
88,1473,621,194.87944991712183,CRITICAL
89,1486,622,200.25983121934362,CRITICAL
90,1503,626,207.15211801958483,CRITICAL
91,1520,628,217.70622407271685,CRITICAL
92,1536,630,224.5551157288562,CRITICAL
93,1552,632,229.65408770583642,CRITICAL
94,1571,633,241.03319273494262,CRITICAL
95,1589,636,246.0,CRITICAL
96,1604,638,239.14012628582432,CRITICAL
97,1619,637,232.83470531688354,CRITICAL
98,1637,638,227.50164834567684,CRITICAL
99,1652,640,223.6515146382872,CRITICAL
100,1669,643,211.30073355291506,CRITICAL
101,1686,650,207.07728026029315,CRITICAL
102,1698,648,197.2232237846243,CRITICAL
103,1706,650,190.1578291840754,CRITICAL
