frame,x,y,width,state
1,1031,611,75.32595834106593,SAFE
2,1033,613,77.05841939723393,SAFE
3,1035,613,79.02531240052139,SAFE
4,1039,613,75.1065909225016,SAFE
5,1038,614,84.1486779456457,SAFE
6,1042,615,78.23042886243178,SAFE
7,1044,615,79.22752047110903,SAFE
8,1045,616,79.30952023559341,SAFE
9,1046,616,79.51100552753688,SAFE
10,1047,616,79.51100552753688,SAFE
11,1049,617,80.09993757800315,SAFE
12,1049,617,77.1621668954417,SAFE
13,1049,618,75.16648189186454,SAFE
14,1048,619,76.10519036176179,SAFE
15,1048,618,74.10802925459562,SAFE
16,1047,620,71.02816342831905,SAFE
17,1046,620,71.11258679024411,SAFE
18,1045,621,71.25307010929424,SAFE
19,1044,621,68.3593446428504,SAFE
20,1041,621,64.4980619863884,SAFE
21,1038,622,66.91038783328041,SAFE
22,1035,622,66.91038783328041,SAFE
23,1029,623,63.387695966961914,SAFE
24,1025,624,62.64982043070834,SAFE
25,1019,625,63.953107821277925,SAFE
26,1014,627,63.56099432828282,SAFE
27,1009,627,63.06346010171025,SAFE
28,1000,626,63.324560795950255,SAFE
