epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1108.62,1.07706,0.49956,0.92034,0.81631,0.62642,0.61152,0.32063,1.13565,0.47495,0.86905,0.000742625,0.000742625,0.000742625
43,1135.38,1.03642,0.49069,0.90152,0.75605,0.62753,0.60638,0.31662,1.13952,0.48053,0.87489,0.00073025,0.00073025,0.00073025
44,1160.57,1.04636,0.48933,0.90528,0.76844,0.64366,0.62092,0.31569,1.15302,0.46648,0.87694,0.000717875,0.000717875,0.000717875
45,1187.97,1.06061,0.48456,0.91322,0.70669,0.62337,0.5758,0.30717,1.14568,0.46552,0.88111,0.0007055,0.0007055,0.0007055
46,1214.82,1.02454,0.47039,0.89692,0.75336,0.61632,0.58027,0.31249,1.15301,0.47258,0.87104,0.000693125,0.000693125,0.000693125
47,1239.45,1.03607,0.476,0.90025,0.76052,0.62705,0.59567,0.31158,1.14091,0.47573,0.87161,0.00068075,0.00068075,0.00068075
48,1266.02,1.02944,0.48289,0.90423,0.76308,0.61797,0.59411,0.30928,1.15544,0.47189,0.86986,0.000668375,0.000668375,0.000668375
49,1292.82,1.03875,0.47805,0.89884,0.70702,0.62572,0.57894,0.30596,1.18268,0.48056,0.88335,0.000656,0.000656,0.000656
50,1316.61,1.02941,0.46777,0.90083,0.76178,0.64172,0.61937,0.31009,1.16572,0.47091,0.87248,0.000643625,0.000643625,0.000643625
51,1344.14,1.02609,0.47236,0.90593,0.75321,0.661,0.6324,0.31987,1.13551,0.45492,0.87836,0.00063125,0.00063125,0.00063125
52,1370.58,1.0457,0.47445,0.89674,0.75901,0.62736,0.6004,0.3096,1.18272,0.46533,0.87663,0.000618875,0.000618875,0.000618875
53,1394.78,1.01719,0.47122,0.90119,0.76733,0.64816,0.62423,0.31817,1.12878,0.45824,0.87184,0.0006065,0.0006065,0.0006065
54,1421.7,1.03666,0.46548,0.90029,0.76987,0.65252,0.61225,0.31565,1.1378,0.45746,0.87807,0.000594125,0.000594125,0.000594125
55,1448.78,1.02085,0.4666,0.89447,0.78383,0.64237,0.63292,0.32173,1.14346,0.45762,0.87336,0.00058175,0.00058175,0.00058175
56,1474.37,0.99653,0.4564,0.89022,0.79313,0.64705,0.62266,0.32328,1.11187,0.45966,0.86609,0.000569375,0.000569375,0.000569375
57,1499.41,1.01493,0.46313,0.89509,0.76533,0.61898,0.60367,0.31728,1.13194,0.45977,0.87221,0.000557,0.000557,0.000557
58,1526.37,1.0077,0.46113,0.89674,0.76859,0.64695,0.61843,0.3127,1.14215,0.45397,0.87212,0.000544625,0.000544625,0.000544625
59,1552.58,1.00344,0.45689,0.89432,0.77189,0.63428,0.60444,0.31145,1.14581,0.45582,0.87806,0.00053225,0.00053225,0.00053225
60,1578.02,0.99232,0.44745,0.88587,0.78358,0.63717,0.6085,0.31767,1.13302,0.44317,0.87818,0.000519875,0.000519875,0.000519875
61,1604.93,0.97461,0.44168,0.88087,0.76867,0.6616,0.63278,0.32536,1.12973,0.44636,0.86978,0.0005075,0.0005075,0.0005075
62,1632.28,0.98817,0.44585,0.88505,0.81191,0.63673,0.62406,0.31497,1.11434,0.43794,0.87236,0.000495125,0.000495125,0.000495125
63,1657.69,0.98335,0.44079,0.8853,0.76826,0.6548,0.6284,0.31504,1.14418,0.44451,0.87575,0.00048275,0.00048275,0.00048275
64,1684.53,0.97021,0.44084,0.87901,0.75465,0.64612,0.60546,0.31487,1.13102,0.45166,0.86517,0.000470375,0.000470375,0.000470375
65,1712.16,0.96002,0.43847,0.88502,0.76891,0.64659,0.62694,0.32204,1.13315,0.43876,0.87353,0.000458,0.000458,0.000458
66,1737.09,0.96864,0.43628,0.87888,0.79529,0.64757,0.63841,0.32489,1.14419,0.44706,0.87354,0.000445625,0.000445625,0.000445625
67,1763.26,0.97254,0.43482,0.88157,0.78714,0.62963,0.61909,0.32602,1.13182,0.44113,0.8746,0.00043325,0.00043325,0.00043325
68,1791.13,0.96848,0.43795,0.88492,0.80214,0.65213,0.63815,0.32856,1.1217,0.44113,0.87136,0.000420875,0.000420875,0.000420875
69,1818.99,0.97054,0.43494,0.88673,0.7915,0.63487,0.61759,0.32123,1.12511,0.43547,0.86685,0.0004085,0.0004085,0.0004085
70,1843.45,0.95434,0.42377,0.87449,0.77757,0.65063,0.62143,0.32798,1.10764,0.43395,0.86678,0.000396125,0.000396125,0.000396125
71,1870.39,0.96132,0.42889,0.87097,0.79667,0.6496,0.63181,0.32295,1.12073,0.43702,0.86979,0.00038375,0.00038375,0.00038375
72,1897.59,0.95903,0.42691,0.87814,0.77265,0.64326,0.61044,0.32095,1.12479,0.43284,0.86742,0.000371375,0.000371375,0.000371375
73,1922.57,0.9454,0.42391,0.87354,0.80846,0.64764,0.63336,0.32072,1.14126,0.43704,0.88103,0.000359,0.000359,0.000359
74,1948.85,0.96648,0.42877,0.89263,0.78115,0.66042,0.62905,0.32264,1.13085,0.43137,0.87606,0.000346625,0.000346625,0.000346625
75,1976.16,0.92942,0.41658,0.8722,0.8175,0.65956,0.65105,0.33453,1.09302,0.4185,0.87115,0.00033425,0.00033425,0.00033425
76,2004.46,0.93961,0.41467,0.87316,0.8308,0.65208,0.64144,0.33151,1.08979,0.41978,0.86653,0.000321875,0.000321875,0.000321875
77,2030.02,0.94729,0.41509,0.87529,0.82028,0.64961,0.63803,0.32971,1.07706,0.41684,0.86719,0.0003095,0.0003095,0.0003095
78,2056.42,0.93404,0.41393,0.87427,0.75696,0.67202,0.64953,0.32873,1.08991,0.42144,0.86211,0.000297125,0.000297125,0.000297125
79,2083.75,0.9222,0.41571,0.87055,0.76087,0.65873,0.62468,0.3248,1.1121,0.42509,0.86524,0.00028475,0.00028475,0.00028475
80,2108.08,0.93196,0.41095,0.8737,0.76031,0.66479,0.64077,0.33437,1.09483,0.4192,0.87065,0.000272375,0.000272375,0.000272375
81,2135.05,0.91338,0.40263,0.86729,0.83711,0.65252,0.65957,0.32849,1.11569,0.42451,0.87515,0.00026,0.00026,0.00026
82,2162.01,0.93299,0.40583,0.8724,0.83581,0.6522,0.65332,0.33189,1.10814,0.42372,0.86946,0.000247625,0.000247625,0.000247625
83,2187.08,0.92274,0.40852,0.87147,0.82319,0.65588,0.65351,0.33216,1.10578,0.41913,0.8684,0.00023525,0.00023525,0.00023525
84,2213.16,0.9186,0.39799,0.8683,0.83786,0.67019,0.66558,0.33353,1.10166,0.4219,0.86928,0.000222875,0.000222875,0.000222875
85,2239.39,0.90632,0.39755,0.86369,0.82401,0.66407,0.65673,0.33074,1.09457,0.41781,0.86799,0.0002105,0.0002105,0.0002105
86,2264.68,0.91396,0.40893,0.87201,0.82665,0.66407,0.65289,0.33471,1.09544,0.41622,0.86599,0.000198125,0.000198125,0.000198125
87,2290.46,0.90593,0.40281,0.86269,0.81874,0.67302,0.66689,0.3348,1.1108,0.41747,0.87224,0.00018575,0.00018575,0.00018575
88,2316.94,0.90163,0.4,0.86446,0.81661,0.64964,0.64865,0.32824,1.1109,0.41756,0.87289,0.000173375,0.000173375,0.000173375
89,2343.86,0.90979,0.40484,0.87168,0.83158,0.66879,0.67111,0.33413,1.09306,0.4097,0.86923,0.000161,0.000161,0.000161
90,2368.89,0.8913,0.3942,0.86944,0.81958,0.64513,0.6471,0.33255,1.10258,0.41371,0.87176,0.000148625,0.000148625,0.000148625
91,2399.06,0.91479,0.38519,0.85228,0.81028,0.66536,0.65663,0.33571,1.10271,0.41224,0.87035,0.00013625,0.00013625,0.00013625
92,2425.43,0.90411,0.38072,0.84603,0.8078,0.64614,0.64207,0.33514,1.11655,0.41956,0.87385,0.000123875,0.000123875,0.000123875
93,2449.79,0.90778,0.37915,0.84461,0.79094,0.65875,0.64335,0.329,1.10947,0.41846,0.86898,0.0001115,0.0001115,0.0001115
94,2474.84,0.90224,0.37679,0.8383,0.81366,0.66012,0.6512,0.33226,1.10461,0.41326,0.86981,9.9125e-05,9.9125e-05,9.9125e-05
95,2500.4,0.87862,0.37237,0.83441,0.81856,0.64323,0.64098,0.33359,1.09629,0.41361,0.87048,8.675e-05,8.675e-05,8.675e-05
96,2524.56,0.87521,0.36939,0.84036,0.8154,0.65439,0.6522,0.33849,1.09218,0.41083,0.87039,7.4375e-05,7.4375e-05,7.4375e-05
97,2550.25,0.87595,0.36988,0.84111,0.82008,0.65915,0.65823,0.3387,1.10789,0.41139,0.87497,6.2e-05,6.2e-05,6.2e-05
98,2575.94,0.87196,0.36731,0.83927,0.80841,0.65835,0.64913,0.33105,1.09951,0.40839,0.87358,4.9625e-05,4.9625e-05,4.9625e-05
99,2599.58,0.87766,0.36456,0.83565,0.82293,0.65769,0.66267,0.33187,1.10865,0.41136,0.87293,3.725e-05,3.725e-05,3.725e-05
100,2625.87,0.87397,0.36902,0.83751,0.82659,0.65396,0.65791,0.33159,1.10464,0.4071,0.87289,2.4875e-05,2.4875e-05,2.4875e-05
